Infrastructure Type,Infrastructure Name,Road Location,Two Way Travel,Length,ID,Location
Multiuse path (unpaved),,Off Road,true,685,W118146,"MULTILINESTRING ((-97.14089807141869 49.811893531717736, -97.14055788835057 49.81192573662112, -97.14024841460575 49.811960648990585, -97.14014330439588 49.81202321205082, -97.1399999617542 49.812100669941884, -97.13961283325436 49.81219636871217, -97.13953269211639 49.81223274582068, -97.13942930381222 49.81233964643235, -97.13942403925165 49.812476924579606, -97.13953740392337 49.81255628845543, -97.13972381265555 49.812605807657725, -97.1399641196618 49.81267834712026, -97.14025637339482 49.81282483229834, -97.14036962851301 49.81281778803822, -97.14058621304711 49.812794677785945, -97.14075661845237 49.81281513663492, -97.14135069207781 49.81303735881481, -97.14164346110745 49.81317055556231, -97.14171781701616 49.813243704337445, -97.14173967284019 49.81327598839112, -97.14176000231019 49.81330868735562, -97.14177878664192 49.813341771018784, -97.14179600847784 49.813375208812346, -97.14181165190395 49.81340896985175, -97.14182570246523 49.813443022939325, -97.14184296663159 49.8134792179398, -97.14186411868839 49.813514538449866, -97.14188905406863 49.813548809847596, -97.14191764949985 49.813581862692864, -97.14194976361357 49.813613533575655, -97.14198523764426 49.813643665910604, -97.14202389621329 49.81367211072418, -97.14206554819665 49.813698727388015, -97.1421099876709 49.813723384302335, -97.14218690828302 49.813764605420594, -97.14225958858383 49.81380893149447, -97.14232772978579 49.81385618031128, -97.14239105175842 49.81390615764052, -97.14244929417994 49.81395865802799, -97.14250221760696 49.814013465660196, -97.14254960446051 49.81407035522354, -97.14257241489808 49.814108526538625, -97.14259175519312 49.81414749183351, -97.14260755983564 49.814187119145366, -97.14261977529029 49.81422727426251, -97.14262836017741 49.81426782118749, -97.14263328541234 49.814308622602226, -97.14263453430515 49.81434954031555, -97.14263437540316 49.81436884658348, -97.14263615864627 49.814388118611106, -97.14263987647527 49.81440727468372, -97.14264551312826 49.814426233571204, -97.14265304470638 49.81444491488454, -97.14266243927631 49.814463239413215, -97.14267365700476 49.81448112945374, -97.14268665032782 49.814498509149786, -97.14270136415283 49.81451530480834, -97.1427177360911 49.81453144520775, -97.14273569672255 49.814546861911076, -97.1427551698916 49.814561489547295, -97.14277607302749 49.81457526608806, -97.14279831749705 49.81458813312435, -97.14282180897854 49.814600036090226, -97.14284764687812 49.8146134325014, -97.14287207456145 49.81462789431094, -97.14289498730076 49.81464335952166, -97.14291628686439 49.81465976183042, -97.14293588193593 49.8146770309189, -97.14295368850603 49.814695092749766, -97.14296963023295 49.81471386989191, -97.14298363876898 49.814733281842294, -97.14299565405531 49.8147532453783, -97.1430056245774 49.81477367491147, -97.14301350758649 49.81479448286009, -97.1430192692842 49.8148155800119, -97.1430228849668 49.81483687592361, -97.14302433912916 49.81485827929119, -97.14302362553471 49.814879698353415, -97.14302074724014 49.814901041287364, -97.14301571658217 49.81492221658579, -97.14301360775183 49.81494787841268, -97.14301321955828 49.81497357526552, -97.14301455273353 49.814999258865456, -97.14301760477595 49.815024880949665, -97.14302236995333 49.81505039337635, -97.14302883931474 49.81507574821674, -97.1430370007077 49.81510089782131, -97.14305660791825 49.81513301409822, -97.14307850614064 49.81516450444593, -97.14310264782574 49.81519530048249, -97.1431289805535 49.815225335330794, -97.14315744714413 49.81525454376908, -97.1432190655693 49.81530056608458, -97.14329446345508 49.81538817984532, -97.14327696241365 49.815487598034004, -97.14321675649903 49.815539805824535, -97.14304193306727 49.81563448716531, -97.14304187991719 49.81572532285312, -97.14309572964603 49.81583917768414, -97.14319174432954 49.81592490639115, -97.14325320119421 49.816018943325666))"
Spur route,Near Coral Cr,Off Road,true,29,W19663,"MULTILINESTRING ((-97.08282885150922 49.85935991239529, -97.08277326049291 49.859620864938))"
Multiuse path,Near Kenaston Bv,Off Road,true,26,W221615,"MULTILINESTRING ((-97.19884981611915 49.79189311873858, -97.1987732095072 49.79191690551421, -97.19867870008595 49.791943904878444, -97.19859298815419 49.79194465746859, -97.19851726140314 49.79196667068167))"
Spur route,Near Jolliett Cr,Off Road,true,37,W213482,"MULTILINESTRING ((-97.29656504854889 49.87397415167881, -97.29659929073847 49.873638246700935))"
Multiuse path,Yellow Ribbon Greenway,Off Road,true,452,W223663,"MULTILINESTRING ((-97.27560160676121 49.89495211548045, -97.27564128138474 49.89495974340646, -97.27573443640084 49.89497018578309, -97.27583133283615 49.894976645752614, -97.27594774068885 49.8949788576245, -97.27612113096343 49.894970261818344, -97.27620437905628 49.89496026287464, -97.27632570195283 49.89494995269798, -97.27648400474382 49.89492807802984, -97.2766272484182 49.89490779640001, -97.27676109899029 49.89488798067322, -97.2768733857682 49.89486447218418, -97.27705906011354 49.89482064856007, -97.27731260126633 49.89474902428189, -97.2773560505528 49.89473700782376, -97.27739844920585 49.89472351582386, -97.27743967725068 49.89470858646069, -97.27746704722128 49.89469658239595, -97.27749153066303 49.89468221023482, -97.27751264055232 49.89466575586917, -97.27752995697372 49.89464754661013, -97.27755778713882 49.89461192689645, -97.2775838036296 49.89460324269894, -97.2775987216931 49.894603925754076, -97.27763455163675 49.89460455258173), (-97.2723369030761 49.89347718477406, -97.27236852160144 49.89350698005053, -97.27243298741615 49.89358301036076, -97.27247363788321 49.89361411316831, -97.2725447203182 49.89365739907199, -97.27262884092164 49.89369149551348, -97.27270616311097 49.8937125880112, -97.27278948527427 49.893728242998414, -97.27299488928956 49.89376263524589, -97.27315206042243 49.893784916980174, -97.27323676750271 49.89380260024273, -97.27332844072848 49.8938285979376, -97.27371318075228 49.89395330851878, -97.27382741818658 49.89399086002122, -97.27390630517631 49.894019012785726, -97.27396168412297 49.894044469556064, -97.2739953279071 49.89406842972453, -97.27402876259762 49.89409825157998, -97.27405979702745 49.89414445915783, -97.2740894768216 49.89417774397654, -97.27413025432776 49.894205329198606, -97.27419985893704 49.89423920837518, -97.27427693178969 49.89426733387621, -97.27433809005008 49.894283492801655, -97.27439887200156 49.894310202750766, -97.27446459653162 49.894351061781016, -97.27450597655148 49.89441267173296, -97.27455490844602 49.89446618333913, -97.27468973698731 49.89455498924765, -97.27473043153549 49.89458491894314, -97.27479995349874 49.894621142446816, -97.27507672922731 49.89475194097212, -97.27523239989299 49.89481642416101, -97.27537887166693 49.894884289172104, -97.27547375977998 49.89492206259666, -97.27556193215085 49.894944487541075, -97.27560160676121 49.89495211548045))"
Multiuse path,Awasisak Meskanow Greenway,Off Road,true,512,W99607,"MULTILINESTRING ((-97.05775585910077 49.840454639508636, -97.05794755824503 49.84043233232242, -97.05818547982575 49.84042583985734, -97.05893660924788 49.84041746510775, -97.05932436687257 49.84041709939672, -97.05966511752906 49.84040735863001, -97.06000785715668 49.840397650160305, -97.06027134240156 49.84037889050956, -97.0604187916642 49.84037492237359, -97.06070878547091 49.84039007400798, -97.06096920059271 49.84039829370136, -97.06130362940699 49.84038722636836, -97.06139134887279 49.84039377165027, -97.06193519116474 49.84038227269976, -97.0624821372022 49.840392706388805, -97.06364791153483 49.840376972219374, -97.06415665461076 49.840381800236386, -97.06439254857 49.8403894453751, -97.06460539437613 49.84038428448504, -97.06478516335439 49.84038244460721, -97.06486478511809 49.84037602670698))"
Multiuse path (unpaved),Bois-des-esprits Trail,Off Road,true,40,W4467,"MULTILINESTRING ((-97.08374037923129 49.83270810412092, -97.08374100187967 49.832692351518816, -97.08374031464088 49.83264820303043, -97.08374412681707 49.832618516847845, -97.08374822988017 49.832586565424805, -97.0837723536302 49.83254683016567, -97.083807463068 49.832488872492824, -97.08383383284631 49.832440099474894, -97.08386040802067 49.832407408468235, -97.08388405859195 49.83237606014327, -97.08388964579127 49.832368654423654))"
Multiuse path,Dakota/Dunkirk Pathway,Off Road,true,269,W220713,"MULTILINESTRING ((-97.120609525915 49.85054439735389, -97.12042144887987 49.850498582926946, -97.12007882515259 49.85051032159181, -97.11838851056365 49.85064211895086, -97.1179655916399 49.850714866399315, -97.11706280019395 49.8508968971803, -97.11697022725126 49.850936899146994))"
Spur route,Near Cranlea Pa,Off Road,true,1,W37080,"MULTILINESTRING ((-97.06480809618375 49.94624466579647, -97.06479475127088 49.946240757819105))"
Spur route,Near Daffodil St,Off Road,true,4,W54482,"MULTILINESTRING ((-97.14891418930972 49.94135375528859, -97.14886425052514 49.941337682833506))"
