Infrastructure Type,Infrastructure Name,Road Location,Two Way Travel,Length,ID,Location
Neighbourhood greenway,On Evans St,On Road,true,89,B8836,"MULTILINESTRING ((-97.1004546667467 49.87634380919461, -97.10045459528898 49.8767458977436, -97.10045452374189 49.87714795767016))"
Neighbourhood greenway,On Evans St,On Road,true,89,B9699,"MULTILINESTRING ((-97.10045452374189 49.87714795767016, -97.10045445209467 49.87755004949178, -97.10045438035915 49.87795210680733))"
Neighbourhood greenway,On Evans St,On Road,true,44,B22818,"MULTILINESTRING ((-97.10045502165727 49.87835419294013, -97.10045564662651 49.87874609088957))"
Neighbourhood greenway,On Rover Av,On Road,true,17,B15012,"MULTILINESTRING ((-97.11699273278177 49.905194381437866, -97.11676905329828 49.90516007148506))"
Painted bike lane,On Sherbrook St,On Road,false,128,B16279,"MULTILINESTRING ((-97.1597240173513 49.87912244865723, -97.1597226532285 49.8791262617804, -97.15972172044229 49.87913012877196, -97.15972122390082 49.87913402928487, -97.15964024203008 49.880275760210836))"
Painted bike lane,On Sherbrook St,On Road,false,18,B17423,"MULTILINESTRING ((-97.15906813273773 49.88830374994453, -97.15905884506753 49.88846527171944))"
Spur route,,Off Road,true,53,W5909,"MULTILINESTRING ((-97.1646026130827 49.8451231136037, -97.16395369531816 49.845355443989995))"
Painted bike lane,On Hargrave St,On Road,false,142,B3214,"MULTILINESTRING ((-97.1455573085046 49.894745478026145, -97.14560361947322 49.894830804400996, -97.1461650066453 49.89586501912122, -97.14621133242356 49.89595032735118))"
Multiuse path,Near Couture Cr,Off Road,false,117,W230185,"MULTILINESTRING ((-97.31926162578765 49.84638660768384, -97.31925177672339 49.84641013691625, -97.31917528494857 49.84687281512399, -97.31914402907444 49.84715546994036), (-97.31926162578765 49.84638660768384, -97.3192029694276 49.84638492662749), (-97.31949858284295 49.846222576399015, -97.31949760810794 49.84625068504721, -97.31944943851225 49.84625808972877, -97.31940398459571 49.84627220697381, -97.31932574337584 49.846317784766136, -97.31928721075421 49.84634487208574, -97.31926704730677 49.84637365576449, -97.31926162578765 49.84638660768384))"
Multiuse path (unpaved),Harte Trail,Off Road,true,93,W5462,"MULTILINESTRING ((-97.24565514203401 49.84432426035754, -97.24526150774152 49.84433986922187, -97.24508602608385 49.844345888819134, -97.24498945570127 49.84435249428831, -97.24488921363731 49.84435581353849, -97.24471836925962 49.84435434231523, -97.24460606360226 49.84435710649651, -97.24453636903606 49.84435902762713, -97.24446135039753 49.8443649612123, -97.24437038645782 49.84438218842514))"
Painted bike lane,On St Matthews Av,On Road,true,100,B7236,"MULTILINESTRING ((-97.18127160599633 49.890421300590994, -97.18114444918541 49.89041736800784, -97.1807024010678 49.89040369608847, -97.17998871034345 49.890381619078155, -97.17988386198543 49.89037837571648))"
Painted bike lane,On Panet Rd,On Road,false,78,B39939,"MULTILINESTRING ((-97.06429525901386 49.90959016465714, -97.06413280281657 49.90981539989101, -97.06383846047349 49.91022608265146))"
Painted bike lane,On Panet Rd,On Road,false,89,B39941,"MULTILINESTRING ((-97.06383846047349 49.91022608265146, -97.06331721717763 49.910953330771804))"
Spur route,,Off Road,true,3,W219330,"MULTILINESTRING ((-97.12478446276118 49.91961274997341, -97.12482204566582 49.919611612642875))"
Spur route,,Off Road,true,32,W211785,"MULTILINESTRING ((-97.16443283687632 49.76788791568094, -97.16442514163415 49.76787594029841, -97.16440900928546 49.76780870229578, -97.16448531290023 49.76768990140954, -97.16453839860546 49.7676153874675))"
Spur route,,Off Road,true,78,W211811,"MULTILINESTRING ((-97.15290940495309 49.78315650932746, -97.15289103594048 49.78315261522895, -97.15274011821329 49.78312062162311, -97.15263963320096 49.78309409201433, -97.15261495481263 49.78308791553522, -97.15259490844777 49.78308172739553, -97.15257363556056 49.78307759874894, -97.1525516374071 49.78307562687925, -97.15252943233268 49.78307585824986, -97.15250754355826 49.78307828740891, -97.15248648685183 49.78308285711778, -97.15246705257609 49.78309209506078, -97.15242322536457 49.78310952492642, -97.15240614805626 49.78311464548919, -97.1523877486563 49.78311720591865, -97.15236893011931 49.78311708056117, -97.15235061596931 49.78311427556873, -97.15233370497714 49.783108928597, -97.15231902705268 49.78310130204977, -97.15223613112056 49.7830312979176, -97.15217415425323 49.78301060241604, -97.1521083829446 49.78299712941286, -97.15202745041422 49.782992450036076, -97.15193809841499 49.78299019312602))"
Multiuse path,,Off Road,true,25,W212083,"MULTILINESTRING ((-97.14809860377939 49.88259250873697, -97.14817971134804 49.88274961504386, -97.14827670814964 49.88274394176569))"
Multiuse path,,Off Road,true,45,W219227,"MULTILINESTRING ((-97.12838871785036 49.912194098372154, -97.12831334407089 49.91200845934838, -97.12821638789644 49.911838630093996, -97.1282053846029 49.911806934163515))"
Spur route,,Off Road,true,55,W220576,"MULTILINESTRING ((-97.12709561880577 49.88714303926309, -97.1270188136898 49.88716622877071, -97.1269444994891 49.887196063537324, -97.12697666949549 49.88722896821669, -97.12692251396923 49.88727802009267, -97.12691074367912 49.88731166024269, -97.12689897198065 49.88734530036865, -97.12691129810753 49.88740487221888, -97.12686873566108 49.88742442507175, -97.12695992548885 49.88753262209616))"
Multiuse path (unpaved),Seine River South Trail,Off Road,true,12,W210295,"MULTILINESTRING ((-97.07208217358632 49.81273797233664, -97.07218019777157 49.812762543953596, -97.072240078905 49.81278131158172))"
Spur route,,Off Road,true,40,W1164,"MULTILINESTRING ((-97.12536030834671 49.84424597207884, -97.1257482476199 49.84399432401852))"
Neighbourhood greenway,On Evans St,On Road,true,87,B9058,"MULTILINESTRING ((-97.10045564662651 49.87874609088957, -97.10045627152773 49.87913799537432, -97.10045689661548 49.87953006606211))"
Multiuse path (unpaved),Near McConnell Rd,Off Road,true,570,W220961,"MULTILINESTRING ((-97.22070204954862 49.81536725063654, -97.22086424254854 49.81530409004576, -97.22101502407321 49.815258658887096, -97.22109129229811 49.81523297256194, -97.22119956438699 49.815172962501194, -97.22131134641316 49.81510106964434, -97.22138142661373 49.815034504830685, -97.22145414205546 49.8149799170028, -97.22155363780571 49.8149496133395, -97.22164237865518 49.81491914452219, -97.2218424746541 49.81491226833516, -97.22210395980389 49.81495010124068, -97.2223959248193 49.815037142192494, -97.22271584425867 49.815158431496265, -97.22288701122741 49.81518592476615, -97.22317355460261 49.815211208283976, -97.22336622447837 49.81519725257807, -97.22373831866757 49.8151532217175, -97.22421876115054 49.81508896654521, -97.22436273838956 49.81506133162102, -97.22451334234057 49.81506264478291, -97.2246798644656 49.815091058939466, -97.22480856721528 49.815144756009055, -97.22490614194292 49.815208917912656, -97.22507079962823 49.815414362100576, -97.22511015440494 49.81555720910895, -97.22505118695112 49.815740327965685, -97.22491695308413 49.81583774302093, -97.22474653554909 49.815915703970695, -97.22460647397664 49.81596229894906, -97.22429875892449 49.81601129811918, -97.22406093928315 49.815998700798424, -97.223836045347 49.816052946994965, -97.22357647560807 49.81613053427555, -97.2233452163284 49.816190650219, -97.22320347767302 49.81628297465506, -97.22317144504706 49.81636007116356, -97.22319370996497 49.81647704762271))"
Multiuse path,,Off Road,true,54,W229302,"MULTILINESTRING ((-97.13618475063343 49.80695722557664, -97.13552307275114 49.80718285737386))"
Multiuse path (unpaved),Near McConnell Rd,Off Road,true,339,W220998,"MULTILINESTRING ((-97.22524017435438 49.82553210740079, -97.22481737183243 49.82563324323945, -97.22419053723543 49.825760599695386, -97.22402368262333 49.82583351088977, -97.2238411916566 49.82586146014688, -97.22368831414364 49.825906633841775, -97.22352041479246 49.82589008425638, -97.2233683556558 49.825912909065885, -97.22319212700795 49.8258878459166, -97.22298393073785 49.825909809407435, -97.2224944030353 49.82641660440321, -97.22231716617412 49.826536871038556, -97.22207380593831 49.826575064194174, -97.22181503198827 49.826680103341644, -97.22172086474072 49.82677369253891, -97.22156830513333 49.8269278782599, -97.2214376285565 49.82695661897573))"
Neighbourhood greenway,On John Brebeuf Pl,On Road,true,153,B8823,"MULTILINESTRING ((-97.20033300323837 49.86050906265219, -97.19972303432539 49.860484656314576, -97.19821324022416 49.86042423188613))"
Spur route,,Off Road,true,12,W1174,"MULTILINESTRING ((-97.24319757178549 49.85446214006266, -97.24305527517252 49.85451823940173))"
Spur route,,Off Road,true,7,W200236,"MULTILINESTRING ((-97.12254686429561 49.88514608651175, -97.12249790872698 49.885126253648146, -97.12245927944593 49.88511189752233))"
Spur route,,Off Road,true,102,W4194,"MULTILINESTRING ((-97.11667241507465 49.89155116715952, -97.11668890130353 49.891631284616516, -97.11677951105474 49.89166695617232, -97.11690655966947 49.89171543119392, -97.11701589857887 49.891745764718415, -97.11707723323627 49.89177888961541, -97.11719755864398 49.89185819242577, -97.1172694333288 49.891904579604315, -97.1173653759818 49.89194778639729, -97.1174702434027 49.89199827801322, -97.11755435466492 49.89206152364796, -97.11762516654642 49.892119863104355, -97.11767160479238 49.89216350730851))"
Spur route,,Off Road,true,19,W200780,"MULTILINESTRING ((-97.12738719218439 49.846180874607136, -97.12718585443791 49.8460636896733))"
Spur route,Near Empress St,Off Road,true,299,W101007,"MULTILINESTRING ((-97.19532669682843 49.89130400645988, -97.19534694282858 49.89134664329714, -97.19532853675867 49.89154738454619, -97.19531032818404 49.891596476316295, -97.19527824873335 49.89187106754592, -97.19525379376144 49.89223394753906, -97.19522585463365 49.89254387121943, -97.19520560657789 49.892793958976846, -97.19518496379214 49.89305462098422, -97.19517852048082 49.8932273339933, -97.19514775395866 49.89346667754231, -97.19513414470538 49.893685127397504, -97.19512053530305 49.893903577241964, -97.19516858927233 49.89393253984303, -97.19520550490687 49.89395922162096))"
Protected bike lane,On Pembina Hw,On Road,false,3,W219146,"MULTILINESTRING ((-97.14345561200707 49.87221623911997, -97.14341437835448 49.87220887066236))"
Protected bike lane,On Chevrier Bv,On Road,false,24,W225068,"MULTILINESTRING ((-97.15439853592154 49.830813948298655, -97.15449892330075 49.8308053276155, -97.15470310824666 49.83073801578032))"
Protected bike lane,On Chevrier Bv,On Road,false,11,W219182,"MULTILINESTRING ((-97.15530199282648 49.830658008586695, -97.15517001373684 49.83070603195345))"
Protected bike lane,On Chevrier Bv,On Road,false,212,W219248,"MULTILINESTRING ((-97.1519852240069 49.8317540256476, -97.15458500886209 49.83087384352466, -97.15459230723464 49.83087149060369))"
Multiuse path,Near Empress St E,Off Road,true,98,W104739,"MULTILINESTRING ((-97.19424845144871 49.8774529046057, -97.19426529937685 49.877150148991376, -97.19428888060996 49.87688173412044, -97.1943159547926 49.876620681186346, -97.1943127150623 49.87657159717952))"
Painted bike lane,On Church Av,On Road,true,269,B5865,"MULTILINESTRING ((-97.17946990200801 49.93917338017486, -97.17926079951336 49.9391063987908, -97.17629346896058 49.93815584297577, -97.17611090973502 49.93809735821853))"
Painted bike lane,On Church Av,On Road,true,283,B2547,"MULTILINESTRING ((-97.18299547702951 49.940303416295954, -97.18277257446158 49.940232025711595, -97.17967900390875 49.939240360809016, -97.17946990200801 49.93917338017486))"
Painted bike lane,On Church Av,On Road,true,279,B2641,"MULTILINESTRING ((-97.17289289875679 49.93706636397142, -97.17263571585411 49.93698396051404, -97.16955771964771 49.9359976232228, -97.16940536194095 49.935948504090156))"
Multiuse path,Near Pembina Hw,Off Road,true,24,W105319,"MULTILINESTRING ((-97.1525667016528 49.85126249068597, -97.15263914696477 49.85105153550567))"
Spur route,Near McConnell Rd,Off Road,true,204,W220971,"MULTILINESTRING ((-97.22278578284082 49.81694203260782, -97.22272998333769 49.816870552009526, -97.22265358421024 49.81677388753962, -97.22255198941855 49.81673552466002, -97.22243434453736 49.81675759304108, -97.22232995110507 49.81683755804513, -97.22215052580434 49.8169094087107, -97.22210455359992 49.81698927518294, -97.22203587437122 49.81714339678492, -97.22197410580632 49.81727673538858, -97.22198710199709 49.81734159125018, -97.22206824972359 49.81739257215838, -97.22224629873176 49.817400277646776, -97.22253753055804 49.81738186717916, -97.2230302953813 49.8173595838831, -97.22318928770785 49.8173839058072))"
Spur route,Near McConnell Rd,Off Road,true,572,W220951,"MULTILINESTRING ((-97.22100041152697 49.82662567264076, -97.22090797664038 49.82682253611099, -97.22086615081308 49.827048208087646, -97.22080435518293 49.82716506663637, -97.2208387536449 49.82779493411932, -97.22070238244596 49.82798505218881, -97.22043918853194 49.82810501823476, -97.21993752930167 49.82819341893598, -97.219671135277 49.82826993137581, -97.21945559619769 49.82826661961492, -97.21918690414088 49.82814468323126, -97.21895082120243 49.827917840837735, -97.21884907963295 49.82768686262766, -97.21893045495392 49.82703707263756, -97.21874638132928 49.82682963033002, -97.21875947924144 49.82660351746351, -97.2186721191657 49.82650296828968, -97.2186770039652 49.82623952682139, -97.21885088782899 49.8259414808744, -97.21894437223531 49.82561429714534))"
Neighbourhood greenway,On Egerton Rd,On Road,true,87,B117,"MULTILINESTRING ((-97.101852516358 49.86685929587228, -97.10225332233904 49.86759817511567))"
Multiuse path,,Off Road,true,775,W211661,"MULTILINESTRING ((-97.18311040193812 49.83859819931943, -97.18312128230275 49.83859947057153, -97.18312611028617 49.83859972440871, -97.1831261124209 49.83859972439972, -97.18331014064722 49.83859894961573, -97.18342743812237 49.83859325566272, -97.18358388550223 49.83858976111029, -97.18372438923028 49.83858641291647, -97.1838208566855 49.83858039208362, -97.18391050789036 49.83856928984821, -97.18398984981172 49.83855290942695, -97.18406164404244 49.838534607871885, -97.18413440711171 49.83850680636659, -97.18419992226588 49.83847611601142, -97.18427219126498 49.83844513498236, -97.1843542031049 49.838415892408705, -97.18444648137485 49.83839077524483, -97.18463573102375 49.83834616468609, -97.18486512851797 49.83829346052688, -97.18526086893982 49.83820212896937, -97.18533438144284 49.83818702523322, -97.18542143133539 49.838170547584255, -97.18550659875122 49.83815522977989, -97.18558365347012 49.83814374950828, -97.18567595001522 49.83813449013323), (-97.18750401394273 49.83840835126941, -97.18749296210773 49.83845099688823, -97.18747075016803 49.83848857351102, -97.18743134130361 49.83853077432613, -97.18735468700794 49.83860787124153, -97.18708414105728 49.83881161052243, -97.18690974767736 49.83892265421921, -97.18683059280697 49.83896545688241, -97.18674959218124 49.83900700794357, -97.18667499535303 49.83902908391616, -97.18659661720864 49.83905110192498, -97.18651275092924 49.83906813955707, -97.18643983150827 49.83907833921958, -97.1863531285837 49.83908766202645, -97.18628155281891 49.83910111978845, -97.18625512892947 49.83911251978012, -97.18622939297336 49.83913614517603, -97.18621684236354 49.839159056517666, -97.18620886789077 49.83918119920081, -97.18620510817098 49.839212230824394, -97.18620343760124 49.83923951387378, -97.1862103547364 49.8392825082704, -97.1862246501062 49.83933644117116, -97.18623919663851 49.83940762689163, -97.18624628838123 49.839486874453314, -97.18623388666198 49.8395445572569, -97.18621040500766 49.83959471906376, -97.18618389478263 49.839635824625695, -97.18615473667462 49.839671358200164, -97.1860939549657 49.83972786211435, -97.18600874041068 49.83978777775395, -97.18589625344191 49.839848498664004, -97.18570245377023 49.839946065360664), (-97.18753051560515 49.838353193066105, -97.18750401394273 49.83840835126941), (-97.18740627511582 49.83830094285791, -97.1874244154016 49.838337928688716, -97.18745301922273 49.83836955277341, -97.18748045339318 49.83839052408448, -97.18750401394273 49.83840835126941), (-97.18740627511582 49.83830094285791, -97.18745118712573 49.83830353923377, -97.18749301508744 49.83830749592188), (-97.18567595001522 49.83813449013323, -97.18573417807274 49.83815374905618, -97.18586573519572 49.83819019180969, -97.18593176010906 49.83820289945619, -97.18598944788407 49.838209215266005, -97.18605018871861 49.83821151199132, -97.18612483553872 49.83820960833378, -97.18620383530683 49.8382056222802, -97.18644841866347 49.838194089698874, -97.18655009034568 49.83819353033924, -97.18665064028663 49.83819756151055, -97.18678890996306 49.8382087666288, -97.18691687943384 49.83822912359188, -97.187071543826 49.83826019195412, -97.18720735620272 49.83828938016298, -97.18727422075607 49.838297638575085, -97.18740627511582 49.83830094285791), (-97.18567595001522 49.83813449013323, -97.18574063321107 49.838125987754815, -97.18583224290724 49.83811869981174, -97.18593368448215 49.83811077278607, -97.18602714687358 49.838103117230055, -97.18609734373376 49.838094700962074, -97.18615352398068 49.838084082946274, -97.18620419044319 49.83807337860088, -97.18626364140664 49.838057261258506, -97.1863343718772 49.83803458056952, -97.18638233085221 49.83801431868512, -97.18643471168224 49.83799055782641, -97.18651465634764 49.83795097336834, -97.18659725896006 49.83790587998201, -97.1866736016413 49.8378642567385, -97.18675802704819 49.837819588223454, -97.18680664273667 49.837798147054535, -97.18685811407137 49.83778230101326, -97.18691622062995 49.837769333997926, -97.18695875930823 49.837762863237415, -97.18700358550326 49.837760789331305, -97.18705325350832 49.837760377005154, -97.18712354368743 49.8377658377449, -97.18720537025136 49.83777425414592, -97.18728955848745 49.83778508620364, -97.18762861422655 49.83783241445509, -97.18778884909241 49.837858708112485, -97.18790029096363 49.837875753945625, -97.1879534170417 49.837883879918344, -97.18800583732225 49.837891835920196, -97.18805115671917 49.837895472586425, -97.18808115481588 49.83789400476147, -97.18810737708422 49.837889458995654, -97.18813098317635 49.837881105930784, -97.18815222016521 49.83787053527908))"
Spur route,Near McConnell Rd,Off Road,true,66,W220947,"MULTILINESTRING ((-97.2230780296692 49.829237452074686, -97.22336245788242 49.82937597930619, -97.22365370292555 49.82968231781084))"
Spur route,,Off Road,true,75,W1147,"MULTILINESTRING ((-97.24754615747042 49.848151688925725, -97.24769511899467 49.84827477138576, -97.24787388509286 49.848399815672394, -97.2479910620323 49.8485119554093, -97.24802430006423 49.848549751101515, -97.24815204904536 49.84869571240602))"
Multiuse path,Near Empress St E,Off Road,true,46,W104005,"MULTILINESTRING ((-97.19435303561275 49.877861998246715, -97.1943526707105 49.87785375764262, -97.19435186964826 49.87784553003301, -97.19435063344845 49.87783732532827, -97.19434896455824 49.877829152561524, -97.19430166963691 49.87759870245217, -97.19429115606003 49.877535541302805, -97.19428986658772 49.877528839730594, -97.1942882335597 49.87752216878622, -97.19428626081412 49.87751553752449, -97.194283949541 49.87750895136088, -97.19428130225441 49.87750241753057, -97.19427832140138 49.877495945066634, -97.19427501234526 49.87748953944962, -97.19427137481786 49.87748320787128, -97.19426741689774 49.87747695765347, -97.19426313974135 49.87747079511066, -97.19425855000253 49.87746472844198, -97.19425365168705 49.877458762207276, -97.19424845144871 49.8774529046057))"
Multiuse path,Near Empress St E,Off Road,true,45,W99499,"MULTILINESTRING ((-97.19548587119434 49.879500132226696, -97.19542474877159 49.87944527876018, -97.19525561038776 49.87936254310762, -97.19521171790943 49.87928377918555, -97.19510403324892 49.87919523313112))"
Spur route,Near McConnell Rd,Off Road,true,187,W220940,"MULTILINESTRING ((-97.22536858499772 49.84257986579334, -97.22551397130533 49.842691474563225, -97.22565991674178 49.842787829035444, -97.22609305774432 49.84299033098994, -97.2262047398576 49.84305563494055, -97.22624986875671 49.843112288809394, -97.22620383262309 49.84318789752334, -97.22610068728821 49.84321175648795, -97.22600063565136 49.843258556723825, -97.22593924584503 49.843323755184755, -97.22571524763191 49.84374768061656, -97.22563379944823 49.84383151959976, -97.22560367949514 49.84386758662282))"
Multiuse path,,Off Road,true,6,W220199,"MULTILINESTRING ((-97.20210949304351 49.80043634315076, -97.20215280371795 49.80047067367174, -97.20215809069502 49.80047523799853, -97.20215809069502 49.80047523799853))"
Multiuse path (unpaved),,Off Road,true,108,W200989,"MULTILINESTRING ((-97.0285873039208 49.824729677388, -97.02857726277695 49.82471681171653, -97.02856133495047 49.824703989129226, -97.02853895190023 49.824694331027686, -97.02848369658233 49.824674917166895, -97.02842148015183 49.82465822462112, -97.02835706000597 49.82464512256237, -97.02830468542705 49.82463659121596, -97.02815543696 49.82462188589802, -97.02774616889754 49.824586975013936, -97.02731651072773 49.82454128428063, -97.02722505427685 49.824540721546484, -97.02713936879671 49.824553573099806))"
Multiuse path,,Off Road,true,77,W216197,"MULTILINESTRING ((-97.04547455247298 49.897696421483815, -97.04500837191829 49.89813400643599, -97.04486500140379 49.89826545715287))"
Spur route,,Off Road,true,64,W4200,"MULTILINESTRING ((-97.12289098386101 49.88672004184488, -97.1228914824064 49.88666911738908, -97.1228760996274 49.88648656701451, -97.12285661114973 49.88630057580813, -97.12284672514883 49.88621858938066, -97.12284645357029 49.88621484982825, -97.12284148393466 49.88614641940142))"
Spur route,,Off Road,true,43,W1425,"MULTILINESTRING ((-97.02970389837941 49.88836044690423, -97.02962304203535 49.888385773766366, -97.02955567393096 49.88840819722941, -97.02951514495119 49.88842423741667, -97.02947787088799 49.88846208085582, -97.02944254424422 49.88850296864263, -97.02942143569831 49.88853456006553, -97.02936302511225 49.88864983724441))"
Spur route,,Off Road,true,53,W5544,"MULTILINESTRING ((-97.0426468775545 49.92054663991499, -97.04256876718591 49.92050750042515, -97.0424772986208 49.920478037682344, -97.04237474254239 49.92044500343676, -97.04230506145878 49.920424460636006, -97.04220123164497 49.92039385027959, -97.0420316026358 49.920351635755935, -97.04198432591913 49.92034619618574))"
Multiuse path (unpaved),Near Lagimodiere Bv,Off Road,true,5,W210326,"MULTILINESTRING ((-97.04574171698152 49.83643532329828, -97.04581205264735 49.8364215041597))"
Multiuse path (unpaved),Near McConnell Rd,Off Road,true,202,W220973,"MULTILINESTRING ((-97.22318928770785 49.8173839058072, -97.2233040064889 49.817357812931505, -97.22369909917565 49.81735790221411, -97.22411357589317 49.81733242467624, -97.22446472925199 49.81731492775289, -97.22463070495732 49.81731647628228, -97.2246990459125 49.817339407110964, -97.2247031907345 49.81739417989209, -97.2246584479168 49.81756657460131, -97.22455304229786 49.81788426274038, -97.22441605198404 49.818140789218745))"
Multiuse path (unpaved),Near McConnell Rd,Off Road,true,24,W220965,"MULTILINESTRING ((-97.22319370996497 49.81647704762271, -97.22319594020817 49.81648876494864, -97.22319401740694 49.8165832333277, -97.2231318087486 49.81668672436441))"
Spur route,,Off Road,true,18,W1156,"MULTILINESTRING ((-97.12574321248762 49.84522255762535, -97.12556609361624 49.84510985722341))"
Spur route,Near Donegal By,Off Road,true,1,W114795,"MULTILINESTRING ((-97.08077201965017 49.908329266386644, -97.08075965414874 49.90833702049086))"
Multiuse path,,Off Road,true,343,W224378,"MULTILINESTRING ((-97.16675648705416 49.93758073383841, -97.1658797543402 49.93874273137292, -97.16464858344614 49.940346923427605))"
Multiuse path,,Off Road,true,765,W224391,"MULTILINESTRING ((-97.15843340972953 49.949116951588266, -97.15703110134949 49.95094407961449, -97.15372645267642 49.955289887328036))"
Spur route,,Off Road,true,5,W227990,"MULTILINESTRING ((-97.28877055594701 49.87574469058603, -97.28879571979529 49.87575037318474, -97.28883708665086 49.87576181225686))"
Multiuse path (unpaved),Harte Trail,Off Road,true,110,W6034,"MULTILINESTRING ((-97.28361663674538 49.84575583871533, -97.28398153714045 49.84577281053697, -97.28423272653625 49.84578109647247, -97.28430217872486 49.845786572784114, -97.28436297813076 49.84579358899412, -97.28443215493212 49.84580684531218, -97.28450838384842 49.84581520187508, -97.28462349088161 49.84582452038121, -97.28513156987228 49.84584670328014))"
Multiuse path,Dakota/Dunkirk Pathway,Off Road,true,101,W212424,"MULTILINESTRING ((-97.10683982951176 49.82999001009012, -97.10678022634373 49.829917694916425, -97.1063958763201 49.82945136344773, -97.10639505740754 49.82945164510544, -97.10618039973777 49.82919137425515))"
Multiuse path,Near Moray St,Off Road,true,753,W123683,"MULTILINESTRING ((-97.26179029573355 49.88596999464434, -97.26181674241703 49.8860125675781, -97.26181573300127 49.88604067001926, -97.26180784727684 49.88608669261761, -97.26178198056802 49.88615580524218, -97.26176832237218 49.886188839802614, -97.26176582115667 49.886218669039735, -97.26177677334955 49.88630077167244, -97.26178406083893 49.88635829440173, -97.26178148515706 49.88640032255497, -97.26177055672476 49.886517237963304, -97.26176730215518 49.886607841976456, -97.2617519746723 49.886698112711095, -97.26174375079611 49.886746546823716, -97.26172435056579 49.88693556253481, -97.26171378150542 49.88709958635678, -97.26170118099591 49.887233362108496, -97.26168296775741 49.88748673422125, -97.26167095278257 49.88764084642984, -97.26165842430704 49.88777260874023, -97.26164328575123 49.887890230359076, -97.26162836711617 49.88804512364403, -97.26161761356828 49.88817086904026, -97.26160385507679 49.88833685949959, -97.2615888999733 49.888492759475966, -97.26157094804927 49.888701000952494, -97.26156030179996 49.88882449596777, -97.26155736766309 49.88893648525105, -97.26154893143834 49.88904111306149, -97.26153882845662 49.889148737632766, -97.26152818286873 49.88927146286053, -97.26152427358032 49.88933687568426, -97.26151207330186 49.889388132367856, -97.2614835154178 49.889473250843196, -97.26146591268392 49.88954811186702, -97.26147153123482 49.889633224348074, -97.26148532320993 49.889700036971846, -97.2615073427 49.88976470432065, -97.2615311191679 49.88982045970061, -97.26151533182757 49.89001965914578, -97.26149958007744 49.89014655208626, -97.26147748658218 49.89048559259256, -97.26143794595735 49.89087164178526, -97.26142704640041 49.89100141393415, -97.26140575354069 49.8912468642753, -97.26138427955222 49.89149734815123, -97.26136720946853 49.89162371570569, -97.2613578383516 49.89171250366902, -97.26135367300685 49.89191206712945, -97.26133635774913 49.89193060855087, -97.26132517427162 49.89210081330279, -97.26131426197662 49.8922696489052, -97.26131844771797 49.89233137327236, -97.26133731134158 49.89245568858516, -97.2613250920588 49.892536952462734, -97.26128933357349 49.892707649074296))"
Multiuse path,Near Moray St,Off Road,true,64,W57578,"MULTILINESTRING ((-97.26376886394623 49.872761880768905, -97.26366360230493 49.872947300839044, -97.26359359822187 49.8730817646228, -97.2635749920248 49.873123734253255, -97.26355999129413 49.87315757249252, -97.263529186232 49.873233876572364, -97.26350119996144 49.873310632143344))"
Multiuse path,Near Mosselle Dr,Off Road,true,5,W118789,"MULTILINESTRING ((-97.17123308914218 49.970293925769326, -97.17120115254644 49.97033473634866))"
Spur route,Near Donegal By,Off Road,true,73,W33165,"MULTILINESTRING ((-97.08075965414874 49.90833702049086, -97.07985597886837 49.90803699289253))"
Multiuse path,Near Mosselle Dr,Off Road,true,7,W210425,"MULTILINESTRING ((-97.17396922119188 49.97068100416656, -97.17406107106666 49.970711081809704))"
Spur route,Near Mount Allison By,Off Road,true,78,W123304,"MULTILINESTRING ((-97.15088846755127 49.78806355327866, -97.15056332034978 49.788169964882734, -97.14992320007273 49.788388333251596))"
Spur route,Near Muriel St,Off Road,true,2,W67437,"MULTILINESTRING ((-97.29713797832055 49.89143383474024, -97.29713900461056 49.89141879776002))"
Multiuse path,,Off Road,true,79,W90968,"MULTILINESTRING ((-97.2677533150351 49.86301392438723, -97.2666510995856 49.86296966886755))"
Spur route,,Off Road,true,89,W1233,"MULTILINESTRING ((-97.04379237930279 49.94440077832258, -97.04379155196582 49.944428471343464, -97.04379735652118 49.9444647904245, -97.04380551450862 49.944495876033734, -97.04381582246774 49.94452211673782, -97.04383947517135 49.944554041592774, -97.04386937585122 49.944583138428115, -97.04389834806891 49.94460724984594, -97.0439976268494 49.94466009307293, -97.04409903947372 49.944705834764996, -97.04425666891733 49.94477513319152, -97.04439790434985 49.94483939996065, -97.0446202527968 49.9449408907997))"
Multiuse path,,Off Road,true,29,W210621,"MULTILINESTRING ((-97.19533150718476 49.79571759921206, -97.19531875754745 49.79569312213543, -97.19530000395629 49.795665964144135, -97.19527055329645 49.795634161869586, -97.1952352754029 49.79560429722398, -97.19517926935544 49.79556219245755, -97.19509445785543 49.79550800429805))"
Buffered bike lane,On Pembina Hw,On Road,false,3,W82748,"MULTILINESTRING ((-97.15245196064392 49.850060618377086, -97.15244723461922 49.85008729527356))"
Multiuse path,Dakota/Dunkirk Pathway,Off Road,true,32,W212419,"MULTILINESTRING ((-97.10472225846736 49.82742001614426, -97.10451430338469 49.82716786904532))"
Multiuse path,Dakota/Dunkirk Pathway,Off Road,true,103,W212423,"MULTILINESTRING ((-97.10611855953545 49.829116393780474, -97.10582847432043 49.828764661828494, -97.10582649526599 49.828765346389254, -97.10543379227228 49.82830559935343))"
